region,injury_location
arm,arm
arm,arms
arm,axilla
arm,clavicle
arm,clavicles
arm,collar.?bone
arm,elbow
arm,fore.?arm
arm,humerus
arm,olecranon
arm,radius
arm,scapula
arm,shoulder
arm,ulna
arm,upper.?arm
foot,ankle
foot,ankles
foot,calcaneus
foot,feet
foot,foot
foot,heel
foot,metatarsal
foot,tarsal
foot,toe
foot,toes
hand,carpal
hand,finger
hand,fingers
hand,fore.?finger
hand,hand
hand,hands
hand,knuckle
hand,manual phalanx
hand,metacarpal
hand,palm
hand,thumb
hand,wrist
hand,wrists
head,cheek
head,cheekbone
head,chin
head,cranial
head,cranium
head,ear
head,eye
head,eyes
head,face
head,facial
head,forehead
head,hair
head,head
head,jaw
head,lip
head,maxilla
head,mouth
head,nasal
head,nose
head,nostril
head,scalp
head,skull
head,teeth
head,temple
head,temporal
head,tongue
head,tooth
leg,calf
leg,femur
leg,fibula
leg,knee
leg,knees
leg,leg
leg,legs
leg,patella
leg,shin
leg,thigh
leg,thighs
leg,tibia
torso,abdomen
torso,back
torso,belly
torso,bladder
torso,body
torso,breast
torso,brest
torso,buttock
torso,chest
torso,groin
torso,hip
torso,iliium
torso,ilium
torso,internal
torso,liver
torso,loin
torso,loins
torso,lumbar region
torso,navel
torso,neck
torso,nipple
torso,occiput
torso,os coxae
torso,pelvis
torso,penis
torso,perineum
torso,private parts
torso,privates
torso,pubis
torso,rectum
torso,rib
torso,ribs
torso,sacrum
torso,scrotum
torso,side
torso,sides
torso,spine
torso,sternum
torso,stomach
torso,testes
torso,testicle
torso,testicles
torso,throat
torso,urethra
torso,uterus
torso,vagina
torso,vertebra
torso,womb
